diametro_pistao_mm,tipo_amortecimento,protecao_especial,clamping_unit,posicao_instalacao,horas_operacao,manutencao_realizada,curso_mm,modelo_cilindro,temperatura_ambiente_C,pressao_operacao_bar,velocidade_pistao_mm_s,pressao_entrada_sensor_bar,pressao_saida_sensor_bar,sensor_umidade_pct,vibracao_mm_s,delta_pressao_bar,vazamento_detectado,umidade_interna_detectada,desgaste_detectado,falha
63,P,Nenhuma,False,Inclinada,371,True,125,DSNU-63-125-P-A,74.7,1.48,596.2,1.8599999999999999,1.0799999999999998,38.2,12.57,0.78,True,True,True,1
25,PPS,R3,False,Horizontal,854,True,67,DSNU-25-67-PPS-A,42.9,1.77,164.8,1.8800000000000001,1.1600000000000001,33.2,14.41,0.72,True,True,True,1
50,PPS,R3,False,Inclinada,615,True,6,DSNU-50-6-PPS-A,100.3,0.36,1063.4,0.39999999999999997,-0.10000000000000003,12.3,0.61,0.5,False,True,False,1
8,PPS,A6,False,Vertical,767,True,58,DSNU-8-58-PPS-A,119.2,0.86,780.8,1.27,1.23,43.3,1.17,0.040000000000000036,False,True,False,1
63,PPV,Nenhuma,True,Vertical,1914,True,326,DSNU-63-326-PPV-A,91.3,7.92,200.4,8.41,7.83,21.8,13.27,0.5800000000000001,True,True,True,1
12,P,A6,False,Vertical,205,True,53,DSNU-12-53-P-A,68.3,5.18,45.2,5.5,5.45,2.2,12.23,0.04999999999999982,False,False,True,1
32,P,R8,False,Inclinada,846,True,66,DSNU-32-66-P-A,66.0,9.16,173.6,9.3,8.700000000000001,12.2,9.27,0.5999999999999996,True,True,True,1
16,PPV,Nenhuma,True,Horizontal,42,False,58,DSNU-16-58-PPV-A,102.4,11.91,732.5,12.41,11.61,38.3,14.17,0.8000000000000007,True,True,True,1
50,PPS,R8,False,Horizontal,864,True,82,DSNU-50-82-PPS-A,56.2,7.91,219.3,8.36,7.779999999999999,3.5,9.7,0.5800000000000001,True,False,True,1
12,PPV,Nenhuma,False,Vertical,1268,True,87,DSNU-12-87-PPV-A,95.6,0.61,274.8,0.87,-0.13,7.4,3.24,1.0,True,False,False,1
20,PPV,Nenhuma,True,Vertical,1310,True,2,DSNU-20-2-PPV-A,51.3,1.25,35.0,1.66,1.2,34.7,10.93,0.45999999999999996,False,True,True,1
12,PPV,R3,False,Vertical,1378,False,150,DSNU-12-150-PPV-A,-15.6,10.57,868.9,10.98,10.23,44.6,9.69,0.75,True,True,True,1
32,P,Nenhuma,False,Vertical,784,True,293,DSNU-32-293-P-A,32.6,6.33,973.4,6.8,6.13,31.7,14.79,0.6699999999999999,True,True,True,1
20,PPV,R3,False,Horizontal,475,False,103,DSNU-20-103-PPV-A,41.7,9.9,957.2,10.32,9.33,11.1,3.21,0.9900000000000002,True,True,False,1
50,P,R3,True,Inclinada,82,True,24,DSNU-50-24-P-A,-3.8,10.28,157.4,10.6,9.89,2.7,8.97,0.7099999999999991,True,False,True,1
32,P,Nenhuma,False,Inclinada,1133,False,368,DSNU-32-368-P-A,-9.6,11.13,1084.4,11.430000000000001,11.270000000000001,30.8,11.7,0.16000000000000014,False,True,True,1
10,P,Nenhuma,False,Inclinada,1973,False,84,DSNU-10-84-P-A,55.3,11.4,808.4,11.63,10.670000000000002,2.4,5.08,0.9599999999999991,True,False,True,1
16,PPS,Nenhuma,False,Inclinada,189,True,65,DSNU-16-65-PPS-A,-12.2,6.66,1077.5,6.97,6.3,30.6,5.7,0.6699999999999999,True,True,True,1
50,P,Nenhuma,False,Vertical,799,True,449,DSNU-50-449-P-A,20.4,4.09,539.4,4.49,4.430000000000001,11.3,13.32,0.05999999999999961,False,True,True,1
10,P,Nenhuma,False,Vertical,935,True,81,DSNU-10-81-P-A,86.7,11.54,527.2,12.02,11.36,45.2,6.06,0.6600000000000001,True,True,True,1
63,PPS,Nenhuma,False,Vertical,1932,True,251,DSNU-63-251-PPS-A,119.7,6.57,942.5,6.800000000000001,5.920000000000001,23.8,9.37,0.8799999999999999,True,True,True,1
50,P,Nenhuma,False,Inclinada,250,True,385,DSNU-50-385-P-A,82.7,0.77,116.5,1.06,0.4800000000000001,11.2,13.34,0.58,True,True,True,1
63,PPV,Nenhuma,False,Vertical,1747,True,117,DSNU-63-117-PPV-A,123.9,7.71,627.4,7.93,7.58,42.7,3.15,0.34999999999999964,False,True,False,1
20,PPV,Nenhuma,False,Vertical,290,True,116,DSNU-20-116-PPV-A,79.8,7.05,1004.5,7.38,6.56,12.7,14.73,0.8200000000000003,True,True,True,1
10,P,R3,False,Horizontal,1668,True,94,DSNU-10-94-P-A,19.1,10.75,997.1,11.06,10.280000000000001,15.3,10.53,0.7799999999999994,True,True,True,1
16,PPS,R3,False,Horizontal,1224,True,105,DSNU-16-105-PPS-A,75.8,7.84,1147.6,7.85,7.31,41.7,7.44,0.54,True,True,True,1
32,PPV,Nenhuma,False,Vertical,1820,True,495,DSNU-32-495-PPV-A,80.3,4.19,839.4,4.460000000000001,4.3100000000000005,15.4,6.46,0.15000000000000036,False,True,True,1
40,PPS,Nenhuma,False,Horizontal,325,True,259,DSNU-40-259-PPS-A,30.8,11.59,253.3,11.629999999999999,11.379999999999999,20.5,14.32,0.25,False,True,True,1
12,PPS,A6,False,Horizontal,1534,True,46,DSNU-12-46-PPS-A,-22.3,9.62,29.2,9.629999999999999,8.889999999999999,17.4,3.09,0.7400000000000002,True,True,False,1
8,PPV,R8,False,Vertical,1432,True,55,DSNU-8-55-PPV-A,80.5,7.57,577.9,7.970000000000001,7.16,5.8,4.68,0.8100000000000005,True,False,False,1
16,PPS,A6,False,Vertical,1630,True,75,DSNU-16-75-PPS-A,-21.7,3.52,618.9,3.65,3.37,1.9,4.62,0.2799999999999998,False,False,False,1
10,PPV,R8,False,Vertical,1813,False,88,DSNU-10-88-PPV-A,69.7,4.48,292.1,4.65,4.28,36.2,4.34,0.3700000000000001,False,True,False,1
40,PPS,Nenhuma,False,Vertical,1985,True,470,DSNU-40-470-PPS-A,-0.5,8.04,154.0,8.069999999999999,7.989999999999998,32.3,7.03,0.08000000000000007,False,True,True,1
16,PPV,Nenhuma,False,Inclinada,1964,True,192,DSNU-16-192-PPV-A,59.8,0.86,705.5,0.95,0.24,14.1,14.84,0.71,True,True,True,1
10,P,Nenhuma,True,Inclinada,836,True,45,DSNU-10-45-P-A,50.6,3.08,918.3,3.46,3.46,14.8,13.33,0.0,False,True,True,1
25,PPV,Nenhuma,True,Vertical,507,False,410,DSNU-25-410-PPV-A,-23.0,8.57,1191.8,8.82,8.77,47.3,4.92,0.05000000000000071,False,True,False,1
25,PPV,Nenhuma,False,Horizontal,730,False,333,DSNU-25-333-PPV-A,29.4,5.76,911.2,6.2,6.2,49.4,6.34,0.0,False,True,True,1
63,PPV,Nenhuma,False,Vertical,1624,False,449,DSNU-63-449-PPV-A,65.2,4.83,953.4,5.03,4.38,23.7,10.04,0.6500000000000004,True,True,True,1
16,PPV,Nenhuma,False,Vertical,71,True,24,DSNU-16-24-PPV-A,102.3,1.82,741.7,1.9500000000000002,1.5300000000000002,40.1,0.26,0.41999999999999993,False,True,False,1
25,PPS,R3,False,Horizontal,1270,True,458,DSNU-25-458-PPS-A,108.3,5.3,1183.2,5.47,5.17,36.8,12.3,0.2999999999999998,False,True,True,1
10,P,R3,False,Inclinada,640,True,35,DSNU-10-35-P-A,47.6,9.25,769.7,9.61,8.7,14.9,13.2,0.9100000000000001,True,True,True,1
63,PPV,Nenhuma,True,Vertical,1747,True,24,DSNU-63-24-PPV-A,84.3,3.17,1033.0,3.45,3.2600000000000002,2.9,12.86,0.18999999999999995,False,False,True,1
10,PPS,R8,False,Vertical,939,False,28,DSNU-10-28-PPS-A,22.5,0.06,1135.2,0.51,0.12,7.1,5.63,0.39,False,False,True,1
63,P,Nenhuma,False,Inclinada,1878,True,484,DSNU-63-484-P-A,26.3,8.02,1116.2,8.32,7.380000000000001,41.9,6.93,0.9399999999999995,True,True,True,1
16,P,R8,False,Inclinada,607,False,16,DSNU-16-16-P-A,4.2,11.67,460.8,11.92,11.49,36.6,0.19,0.4299999999999997,False,True,False,1
40,P,Nenhuma,False,Horizontal,1610,True,59,DSNU-40-59-P-A,59.3,7.28,99.0,7.67,7.12,33.2,5.99,0.5499999999999998,True,True,True,1
32,P,A6,False,Inclinada,1958,False,465,DSNU-32-465-P-A,22.2,1.44,210.4,1.91,1.8299999999999998,6.5,6.91,0.08000000000000007,False,False,True,1
50,PPV,R3,True,Inclinada,565,True,243,DSNU-50-243-PPV-A,-12.3,3.85,75.8,4.03,3.24,32.0,13.6,0.79,True,True,True,1
40,PPV,Nenhuma,False,Inclinada,1367,True,438,DSNU-40-438-PPV-A,77.8,10.41,130.9,10.53,10.11,38.6,13.41,0.41999999999999993,False,True,True,1
20,PPS,Nenhuma,False,Horizontal,1994,True,207,DSNU-20-207-PPS-A,81.2,2.79,225.7,3.1,2.3,43.0,14.49,0.8000000000000003,True,True,True,1
10,PPS,Nenhuma,False,Inclinada,1948,True,16,DSNU-10-16-PPS-A,29.0,7.29,412.6,7.54,7.29,0.7,13.28,0.25,False,False,True,1
20,PPS,Nenhuma,False,Inclinada,53,True,271,DSNU-20-271-PPS-A,-13.5,4.83,654.5,5.32,4.9,34.2,0.12,0.41999999999999993,False,True,False,1
40,P,Nenhuma,False,Horizontal,1753,False,249,DSNU-40-249-P-A,38.9,2.49,855.5,2.72,1.9300000000000002,1.0,9.62,0.79,True,False,True,1
63,P,R3,False,Inclinada,527,True,482,DSNU-63-482-P-A,41.4,9.76,257.1,9.799999999999999,8.829999999999998,35.3,1.02,0.9700000000000006,True,True,False,1
50,PPV,Nenhuma,False,Inclinada,610,True,267,DSNU-50-267-PPV-A,75.3,8.91,808.7,9.4,9.34,31.8,4.09,0.0600000000000005,False,True,False,1
50,P,R3,False,Horizontal,1555,True,193,DSNU-50-193-P-A,22.3,7.94,846.6,8.360000000000001,7.550000000000001,7.4,8.67,0.8100000000000005,True,False,True,1
8,P,A6,False,Vertical,1581,True,79,DSNU-8-79-P-A,77.4,2.84,672.6,2.9299999999999997,2.63,38.3,10.51,0.2999999999999998,False,True,True,1
50,P,Nenhuma,False,Horizontal,1986,False,218,DSNU-50-218-P-A,105.7,1.17,1084.8,1.6199999999999999,1.0699999999999998,3.4,9.82,0.55,True,False,True,1
32,PPS,Nenhuma,False,Inclinada,192,False,115,DSNU-32-115-PPS-A,10.6,6.91,137.6,7.08,6.79,41.3,0.74,0.29000000000000004,False,True,False,1
50,PPS,Nenhuma,False,Inclinada,1918,False,68,DSNU-50-68-PPS-A,121.8,6.64,216.7,6.83,6.22,13.1,1.55,0.6100000000000003,True,True,False,1
40,PPV,R3,True,Inclinada,57,False,299,DSNU-40-299-PPV-A,33.0,2.26,517.3,2.71,2.36,34.4,1.93,0.3500000000000001,False,True,False,1
8,P,Nenhuma,True,Horizontal,1460,False,69,DSNU-8-69-P-A,15.1,0.67,156.4,0.9400000000000001,0.6100000000000001,46.2,1.37,0.32999999999999996,False,True,False,1
40,P,A6,True,Inclinada,1134,True,483,DSNU-40-483-P-A,38.2,0.97,681.7,1.04,1.0,17.0,2.67,0.040000000000000036,False,True,False,1
40,PPV,R8,False,Inclinada,128,False,397,DSNU-40-397-PPV-A,-10.8,11.91,481.1,12.09,11.94,25.1,10.33,0.15000000000000036,False,True,True,1
12,P,Nenhuma,False,Horizontal,1872,True,138,DSNU-12-138-P-A,-6.1,9.4,345.1,9.76,8.84,23.2,12.46,0.9199999999999999,True,True,True,1
8,P,Nenhuma,True,Vertical,705,True,75,DSNU-8-75-P-A,37.2,11.06,208.1,11.15,10.15,7.9,6.13,1.0,True,False,True,1
40,PPS,R8,True,Vertical,1948,True,466,DSNU-40-466-PPS-A,89.4,2.34,405.7,2.6399999999999997,1.8599999999999997,29.5,10.39,0.78,True,True,True,1
12,PPV,R3,False,Inclinada,851,False,103,DSNU-12-103-PPV-A,110.0,11.53,731.5,11.879999999999999,11.59,37.2,3.0,0.28999999999999915,False,True,False,1
12,PPV,Nenhuma,False,Horizontal,1349,False,41,DSNU-12-41-PPV-A,74.7,1.71,693.1,1.88,1.48,45.8,14.6,0.3999999999999999,False,True,True,1
8,PPV,Nenhuma,False,Inclinada,7,True,50,DSNU-8-50-PPV-A,-9.2,6.11,200.5,6.46,5.72,42.5,5.25,0.7400000000000002,True,True,True,1
20,PPV,R3,False,Horizontal,28,False,215,DSNU-20-215-PPV-A,75.8,9.96,154.3,10.4,9.43,25.5,12.69,0.9700000000000006,True,True,True,1
63,PPS,Nenhuma,False,Horizontal,1135,False,455,DSNU-63-455-PPS-A,70.3,4.2,36.9,4.44,3.9800000000000004,36.0,14.18,0.45999999999999996,False,True,True,1
32,PPS,A6,True,Vertical,946,True,315,DSNU-32-315-PPS-A,95.9,5.1,19.8,5.29,4.46,40.0,12.97,0.8300000000000001,True,True,True,1
63,P,Nenhuma,False,Vertical,1696,True,39,DSNU-63-39-P-A,98.8,1.54,1056.4,1.67,0.69,24.7,1.01,0.98,True,True,False,1
50,P,Nenhuma,False,Horizontal,130,False,259,DSNU-50-259-P-A,105.2,1.48,58.9,1.78,0.91,5.8,9.75,0.87,True,False,True,1
32,P,R8,False,Inclinada,187,True,204,DSNU-32-204-P-A,37.1,7.43,878.8,7.87,7.64,21.9,1.8,0.23000000000000043,False,True,False,1
50,P,Nenhuma,False,Vertical,1698,True,7,DSNU-50-7-P-A,79.7,8.11,1047.0,8.27,8.26,42.1,0.08,0.009999999999999787,False,True,False,1
40,PPS,Nenhuma,True,Inclinada,708,True,49,DSNU-40-49-PPS-A,15.2,9.33,122.2,9.53,9.04,29.8,0.78,0.4900000000000002,False,True,False,1
10,PPV,Nenhuma,False,Vertical,1498,True,26,DSNU-10-26-PPV-A,124.9,6.68,526.4,6.88,6.35,36.2,13.74,0.5300000000000002,True,True,True,1
8,PPS,Nenhuma,False,Vertical,1387,False,33,DSNU-8-33-PPS-A,1.3,7.75,1155.0,8.03,7.829999999999999,9.3,13.63,0.20000000000000018,False,False,True,1
32,P,R3,False,Inclinada,1227,True,357,DSNU-32-357-P-A,-23.5,0.16,1001.8,0.27,-0.010000000000000009,48.2,3.39,0.28,False,True,False,1
32,PPS,Nenhuma,False,Vertical,211,False,176,DSNU-32-176-PPS-A,-2.7,1.95,590.2,2.36,1.5899999999999999,20.2,8.21,0.77,True,True,True,1
40,PPV,Nenhuma,False,Vertical,1644,False,79,DSNU-40-79-PPV-A,91.4,11.82,916.3,11.97,11.5,32.7,14.33,0.47000000000000064,False,True,True,1
20,PPV,R3,True,Inclinada,275,False,2,DSNU-20-2-PPV-A,42.0,0.91,1000.9,1.26,0.94,0.9,7.45,0.32000000000000006,False,False,True,1
12,PPS,R3,True,Vertical,1096,True,127,DSNU-12-127-PPS-A,42.1,8.15,420.9,8.41,7.79,6.4,5.9,0.6200000000000001,True,False,True,1
40,PPS,Nenhuma,False,Vertical,1702,True,455,DSNU-40-455-PPS-A,118.3,2.11,1071.1,2.4,1.75,39.1,7.25,0.6499999999999999,True,True,True,1
25,PPS,Nenhuma,False,Vertical,1795,True,416,DSNU-25-416-PPS-A,112.9,8.6,567.2,8.69,7.92,48.4,11.85,0.7699999999999996,True,True,True,1
12,P,A6,True,Inclinada,242,True,132,DSNU-12-132-P-A,21.7,8.47,635.7,8.84,8.68,16.0,7.16,0.16000000000000014,False,True,True,1
8,PPS,R3,False,Horizontal,1810,False,20,DSNU-8-20-PPS-A,6.4,2.81,1199.7,2.9,2.16,1.9,11.75,0.7399999999999998,True,False,True,1
12,PPS,Nenhuma,False,Inclinada,1125,True,117,DSNU-12-117-PPS-A,102.3,3.24,1012.7,3.3000000000000003,2.7,18.0,6.48,0.6000000000000001,True,True,True,1
20,PPS,Nenhuma,False,Horizontal,986,True,164,DSNU-20-164-PPS-A,110.9,7.86,437.3,8.13,8.07,0.9,3.78,0.0600000000000005,False,False,False,1
12,PPV,Nenhuma,True,Vertical,684,True,32,DSNU-12-32-PPV-A,56.2,4.68,17.4,5.029999999999999,4.249999999999999,9.6,4.9,0.7800000000000002,True,False,False,1
8,PPV,R3,False,Horizontal,170,False,28,DSNU-8-28-PPV-A,69.4,2.33,753.3,2.36,1.98,37.6,1.17,0.3799999999999999,False,True,False,1
20,P,R8,False,Inclinada,652,False,1,DSNU-20-1-P-A,13.5,8.78,846.2,8.809999999999999,8.479999999999999,46.9,7.46,0.33000000000000007,False,True,True,1
63,P,R3,False,Inclinada,1932,True,188,DSNU-63-188-P-A,95.1,1.85,782.7,2.25,1.8,4.4,2.22,0.44999999999999996,False,False,False,1
32,PPV,R8,False,Vertical,187,False,56,DSNU-32-56-PPV-A,69.8,10.27,1161.6,10.67,10.32,27.9,12.17,0.34999999999999964,False,True,True,1
32,PPV,R3,False,Horizontal,1464,True,35,DSNU-32-35-PPV-A,50.5,6.18,1036.3,6.3,5.96,12.7,6.31,0.33999999999999986,False,True,True,1
50,PPV,Nenhuma,False,Vertical,1109,True,112,DSNU-50-112-PPV-A,-16.0,1.27,541.4,1.58,0.77,7.0,11.48,0.81,True,False,True,1
63,PPS,Nenhuma,True,Vertical,1499,False,286,DSNU-63-286-PPS-A,112.4,8.33,80.1,8.55,8.430000000000001,10.9,14.32,0.11999999999999922,False,True,True,1
63,PPS,Nenhuma,False,Inclinada,51,True,310,DSNU-63-310-PPS-A,67.3,6.23,573.9,6.550000000000001,5.580000000000001,28.9,12.74,0.9699999999999998,True,True,True,1
12,PPV,Nenhuma,True,Horizontal,110,False,36,DSNU-12-36-PPV-A,3.9,3.58,828.6,4.01,3.46,3.3,14.27,0.5499999999999998,True,False,True,1
32,PPS,R8,False,Horizontal,1972,True,439,DSNU-32-439-PPS-A,66.0,5.07,731.2,5.11,4.930000000000001,21.7,8.52,0.17999999999999972,False,True,True,1
8,PPS,Nenhuma,False,Horizontal,876,True,89,DSNU-8-89-PPS-A,76.6,3.58,648.1,3.97,3.8400000000000003,6.8,2.48,0.1299999999999999,False,False,False,0
16,P,Nenhuma,False,Horizontal,1877,False,80,DSNU-16-80-P-A,53.9,3.16,565.2,3.41,2.8200000000000003,13.6,14.03,0.5899999999999999,True,True,True,1
16,PPV,Nenhuma,False,Vertical,1066,True,58,DSNU-16-58-PPV-A,82.7,1.96,356.0,2.24,1.6100000000000003,9.5,13.03,0.6299999999999999,True,False,True,1
20,PPV,Nenhuma,True,Vertical,210,False,83,DSNU-20-83-PPV-A,62.2,4.35,336.4,4.68,4.63,44.1,12.97,0.04999999999999982,False,True,True,1
32,PPS,Nenhuma,False,Inclinada,1991,False,65,DSNU-32-65-PPS-A,117.2,3.01,602.8,3.4699999999999998,3.2299999999999995,35.4,10.4,0.2400000000000002,False,True,True,1
32,PPV,Nenhuma,False,Vertical,1223,True,325,DSNU-32-325-PPV-A,-16.9,8.2,196.9,8.229999999999999,7.429999999999999,43.4,9.37,0.7999999999999998,True,True,True,1
16,P,R3,False,Vertical,1833,True,128,DSNU-16-128-P-A,-9.1,8.21,412.1,8.22,8.17,19.2,0.22,0.05000000000000071,False,True,False,1
32,P,Nenhuma,True,Inclinada,857,True,307,DSNU-32-307-P-A,1.1,6.02,392.2,6.109999999999999,5.249999999999999,15.7,11.22,0.8600000000000003,True,True,True,1
12,P,R3,False,Inclinada,1775,True,22,DSNU-12-22-P-A,78.5,9.34,706.6,9.83,9.17,19.0,1.37,0.6600000000000001,True,True,False,1
25,PPV,Nenhuma,False,Inclinada,626,True,216,DSNU-25-216-PPV-A,71.8,10.1,84.7,10.459999999999999,10.03,0.9,3.9,0.4299999999999997,False,False,False,1
10,PPV,Nenhuma,False,Vertical,1049,True,53,DSNU-10-53-PPV-A,108.8,6.96,996.5,7.27,6.92,36.2,8.27,0.34999999999999964,False,True,True,1
63,PPV,Nenhuma,False,Vertical,1942,True,356,DSNU-63-356-PPV-A,84.9,7.43,677.0,7.449999999999999,7.43,17.5,6.78,0.019999999999999574,False,True,True,1
50,PPV,Nenhuma,False,Inclinada,298,True,164,DSNU-50-164-PPV-A,51.3,3.39,806.6,3.83,3.0,15.7,0.24,0.8300000000000001,True,True,False,1
20,PPV,R3,False,Inclinada,1100,False,68,DSNU-20-68-PPV-A,123.8,10.74,845.2,11.15,11.01,29.9,12.36,0.14000000000000057,False,True,True,1
25,P,Nenhuma,False,Inclinada,923,False,292,DSNU-25-292-P-A,14.9,0.29,353.3,0.62,0.31,21.8,13.18,0.31,False,True,True,1
16,PPS,Nenhuma,False,Vertical,136,False,180,DSNU-16-180-PPS-A,100.0,4.18,567.1,4.35,3.78,49.0,10.23,0.5699999999999998,True,True,True,1
63,P,R3,False,Vertical,1043,True,181,DSNU-63-181-P-A,39.0,8.66,1147.7,8.7,8.45,17.8,8.12,0.25,False,True,True,1
32,PPV,Nenhuma,False,Horizontal,439,False,466,DSNU-32-466-PPV-A,72.3,0.96,921.2,1.25,0.75,30.7,14.41,0.5,False,True,True,1
50,P,Nenhuma,False,Vertical,210,True,434,DSNU-50-434-P-A,84.1,2.2,1163.6,2.56,1.75,15.6,1.8,0.81,True,True,False,1
32,PPV,R8,False,Vertical,751,False,464,DSNU-32-464-PPV-A,70.1,7.07,896.8,7.12,6.65,49.5,11.07,0.46999999999999975,False,True,True,1
8,PPV,R3,True,Vertical,1574,False,41,DSNU-8-41-PPV-A,-3.9,6.72,214.8,7.04,6.09,22.3,1.93,0.9500000000000002,True,True,False,1
8,P,Nenhuma,False,Inclinada,434,True,18,DSNU-8-18-P-A,41.4,8.87,82.1,9.01,8.16,31.7,5.73,0.8499999999999996,True,True,True,1
50,PPV,A6,False,Vertical,779,True,22,DSNU-50-22-PPV-A,59.2,9.75,695.3,10.13,9.8,6.3,8.78,0.33000000000000007,False,False,True,1
50,PPS,R3,False,Inclinada,1230,False,66,DSNU-50-66-PPS-A,102.4,1.54,432.6,1.81,1.4100000000000001,36.7,11.06,0.3999999999999999,False,True,True,1
16,PPV,Nenhuma,True,Horizontal,438,False,21,DSNU-16-21-PPV-A,41.5,0.22,334.2,0.28,-0.13999999999999996,13.5,0.06,0.42,False,True,False,1
50,PPS,R3,False,Horizontal,1997,False,100,DSNU-50-100-PPS-A,112.8,8.28,969.6,8.54,7.909999999999999,22.4,3.91,0.6299999999999999,True,True,False,1
12,PPS,Nenhuma,False,Inclinada,1802,True,128,DSNU-12-128-PPS-A,41.1,3.62,443.6,3.8200000000000003,3.5300000000000002,44.2,8.07,0.29000000000000004,False,True,True,1
32,PPV,Nenhuma,False,Inclinada,665,True,300,DSNU-32-300-PPV-A,57.3,7.51,383.8,7.6,6.63,48.5,7.99,0.9699999999999998,True,True,True,1
25,P,Nenhuma,False,Inclinada,1065,True,103,DSNU-25-103-P-A,94.4,1.81,1020.7,2.23,1.62,21.2,9.56,0.6099999999999999,True,True,True,1
40,PPS,Nenhuma,False,Vertical,410,False,47,DSNU-40-47-PPS-A,62.5,5.63,1016.3,5.64,5.239999999999999,41.7,4.56,0.40000000000000036,False,True,False,1
50,P,R3,True,Horizontal,1546,True,39,DSNU-50-39-P-A,119.0,6.05,430.9,6.21,5.56,2.7,8.11,0.6500000000000004,True,False,True,1
20,PPS,Nenhuma,True,Inclinada,805,False,285,DSNU-20-285-PPS-A,74.1,7.02,999.8,7.029999999999999,6.629999999999999,42.4,2.85,0.40000000000000036,False,True,False,1
8,PPV,R8,False,Vertical,609,True,54,DSNU-8-54-PPV-A,53.4,6.16,1021.7,6.21,5.39,31.5,2.8,0.8200000000000003,True,True,False,1
